EIA_ID,MWh_per_MCM_release
145,32.1091
149,72.5778
150,29.4705
152,48.3501
153,169.0754
154,80.9402
222,198.1199
223,779.0372
240,2932.4681
242,842.9656
249,369.3049
254,116.9328
266,198.4223
270,7182.7862
279,546.5933
317,7092.4716
320,704.9623
322,864.0594
344,1147.3135
376,112.1638
380,2844.2508
382,1895.649
409,257.3116
410,39.827
415,1102.2053
424,219.9124
437,585.9505
439,302.0154
441,176.4064
445,418.7923
447,23.4223
451,678.0838
454,443.2558
455,74.7609
505,27.7509
512,193.2128
514,222.0774
516,102.7637
534,45.6919
537,33.6988
584,100.36
809,34.0094
811,85.1575
812,37.5052
813,48.9021
816,20.7464
829,54.243
831,25.0513
835,19.8075
2186,67.8501
2188,101.231
2199,83.5474
2204,125.6652
3014,42.8479
3029,319.2808
3048,135.7218
3050,311.8308
3067,400.1897
3646,55.9836
3847,111.2982
3850,245.3702
3852,142.0389
3855,216.6748
3861,561.4107
3867,107.7308
3913,101.0943
3914,206.669
3917,117.5542
3918,181.1031
4176,101.4225
4177,31.5008
4178,6.4277
4182,63.6683
4183,28.464
4185,58.5751
4213,52.3562
4214,20.9789
4263,30.9288
6158,481.0127
6202,236.6986
6402,27.4054
6405,157.305
6408,13.3913
6409,52.8648
6424,235.7077
6430,251.8793
6432,254.3177
6433,144.5467
6612,209.2453
6623,62.6981
7151,62.6916
7189,246.0364
7317,56.3385
7372,178.0736
7427,54.7217
7541,11.9032
7588,522.9831
7593,105.7429
7789,111.9898
7907,331.0673
8902,67.663
10014,144.8419
10421,25.5924
10422,50.5283
10740,35.8364
50179,120.1646
50755,45.1808
54554,546.3221
56499,46.6156
57496,97.9541
221,389.3338
425,1829.7498
432,256.7782
850,102.4415
3047,75.5823
6172,205.2322
6395,150.0037
6398,12.8276
6400,74.3449
7127,78.9877
840,333.057
851,9.0748
2203,524.2816
3076,32.8383
3077,141.1094
3078,19.6114
3080,100.0559
3081,97.0765
3083,85.6463
6163,210.4696
6174,119.853
6552,59.1344
10081,20.3869
10458,2306.2174
10707,160.0622
10735,5.664
10882,182.2215
217,939.8218
218,4091.9955
2181,22.4213
2182,44.5359
219,505.5906
2191,44.0972
2194,80.1478
2195,27.8211
220,265.7684
224,83.2955
229,28.1046
231,341.4491
235,203.2309
236,666.785
239,469.652
241,30.3621
250,42.0579
265,222.4737
267,274.0829
268,450.6881
269,209.7052
272,581.6613
275,528.4631
285,489.1792
287,468.2865
3013,79.3785
3020,91.0831
3021,44.2243
3025,3.8569
3026,38.047
3028,154.3303
3032,13.8725
3033,186.8904
3034,72.5661
3035,2.3612
3036,88.1982
3037,48.8177
3040,246.8666
3045,107.4303
3049,43.4667
3053,70.9313
3068,23.3657
3071,16.6231
3074,43.1847
3075,25.4972
3082,51.3923
3084,32.4154
318,1032.4859
319,1571.5963
321,787.8038
328,58.6322
337,24.8328
340,231.5655
381,396.9139
3854,1144.2728
3866,28.0377
3868,19.2176
3869,15.4764
3883,56.2316
3886,40.7232
3887,41.6451
3888,44.7852
3891,18.5565
3895,36.7772
391,12.1224
3915,138.3832
3916,161.1053
3921,110.3248
3925,30.5869
3926,40.0235
3927,39.9018
3929,130.5744
412,328.2111
418,41.4513
4180,91.7203
419,2361.1492
426,298.7421
427,4476.9698
430,646.7467
431,1023.3341
433,453.5317
435,734.0935
440,17.9337
443,104.4739
472,26.1398
474,199.0313
476,34.791
489,11.1865
50180,48.3442
50380,8.2741
50827,39.7218
50980,14.731
520,48.1004
521,83.6249
54249,4.9936
54267,124.1076
54524,13.68
54555,629.4004
54721,26.6226
6159,114.547
6175,40.3736
6200,23.4579
622,17.7541
6265,17.5654
6396,19.5475
6397,3.5794
6406,8.0495
6407,23.6296
6421,189.2522
6431,318.3707
6484,2.1882
6505,224.6985
6506,1.7721
682,925.5515
7079,11.6973
7179,2.903
7190,12.1563
7508,101.3196
7511,0.4346
790,14.2642
810,30.2018
815,28.055
818,10.6276
819,9.6781
821,11.8639
822,12.6279
827,101.503
833,54.2888
9095,24.9136
9096,15.8559
